id,age,salary,department,years_experience
56,37.0,90467.0,Sales,10.0
188,47.0,90091.0,HR,9.0
192,56.0,,Marketing,
130,40.0,81434.0,Marketing,37.0
38,68.0,123041.0,HR,18.0
158,49.0,102018.0,Marketing,9.0
61,,32688.0,,16.0
2,69.0,,Finance,35.0
53,26.0,46309.0,Finance,34.0
150,44.0,127941.0,Sales,28.0
131,127.0,463470.0,Sales,11.0
152,32.0,81267.0,Marketing,
104,24.0,28155.0,,
100,32.0,120689.0,HR,12.0
117,50.0,110735.0,Sales,13.0
88,,,Sales,25.0
31,66.0,87172.0,Sales,18.0
75,35.0,113384.0,IT,0.0
187,123.0,,,36.0
67,67.0,126081.0,HR,
122,45.0,22049.0,HR,15.0
77,61.0,106202.0,HR,16.0
21,61.0,71005.0,Marketing,34.0
189,28.0,127450.0,HR,9.0
72,59.0,100623.0,Sales,37.0
107,18.0,132561.0,Sales,20.0
15,57.0,81087.0,IT,31.0
93,,87270.0,HR,27.0
180,,42399.0,Finance,4.0
103,42.0,21802.0,HR,32.0
